Strain,Company,Types,Categories,SubCategory,THCLevel,THCUnit,Price,Feelings,FlavorProfile,Terpenes,Description,HardwareType,UnitWeight,PackSize,PreRollConfig,DietaryTags,TimeOfDay,ActivityScenario,IsLiveResin,IsLiveRosin,IsInfused,IsVegan,IsOrganic,ProductTags,OtherCannabinoids,OtherCannabinoidLevels,ExperienceLevel,ConsumptionMethod,OnsetTime,Duration,PriceRange
Dulce De Leche Caramel | 10mg 2 Pack,Soft Power Sweets,Hybrid,Edibles,Caramel,10,mg,12.0,"Happy,Uplifted,Energetic,Relaxed,Sleepy","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","A bright, fruity, raspberry caramel infused with almond for beautiful marzipan flavor - a rainbow cookie turned into a lush confection. Two 10mg THC Caramels Per Unit, 20mg Total",,,2.0,,,Anytime,Relaxation,False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Budget
"High, I Love You | Chocolate | 5 Pack | 50mg",Soft Power Sweets,Hybrid,Edibles,Chocolate,5,mg,25.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Soft Power Sweets presents ?High, I Love You?, our take on a classic Valentine?s chocolate tin. It features five 10mg solid hearts in just-dark-enough 65% single origin Ecuadorian chocolate, each one hand-painted in shimmering Valentine?s hues. Say ?High, I Love You? with the best ethically sourced chocolate paired with NY?s best sustainably grown cannabis.",,,20.0,,,Anytime,Relaxation,False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
TTM | Astro Apple | 100mg,To The Moon,Hybrid,Edibles,Gummy,5,mg,30.0,"Energetic,Happy,Creative,Focused,Inspired,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","TTM Astro Apple gummies by To The Moon deliver a crisp, sweet apple flavor in a 5mg-per-piece format. Each pack contains 20 gummies for a total of 100mg THC. A hybrid formula designed for relaxed, happy, and calm effects. Start with one gummy and wait at least 1 hour before consuming more. Onset 30–90 min, effects last 3–4 hrs.",,,20.0,,,Daytime,"Creative,Focus",False,False,False,False,False,,,,Beginner,Eat,30–90 min,4–8 hrs,Mid
TTM | Mystery Moon | 100mg,To The Moon,Hybrid,Edibles,Gummy,5,mg,30.0,"Calm,Happy,Relaxed,Energetic,Uplifted,Creative","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","TTM Mystery Moon gummies by To The Moon keep you guessing with a playful, surprise flavor blend. Each pack contains 20 gummies at 5mg THC each, totaling 100mg. Expect relaxed and happy effects with a hint of sleepiness. Start with one gummy and wait at least 1 hour. Onset 30–90 min, effects last 3–4 hrs.",,,20.0,,,Daytime,"Creative,Relaxation",False,False,False,False,False,,,,Beginner,Eat,30–90 min,4–8 hrs,Mid
TTM | The Grape Gazoo | 100mg,To The Moon,Hybrid,Edibles,Gummy,5,mg,30.0,"Calm,Happy,Relaxed,Energetic,Uplifted,Creative,Inspired","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","TTM The Grape Gazoo gummies by To The Moon burst with bold, sweet grape flavor. Each pack contains 20 gummies at 5mg THC each, totaling 100mg. A hybrid formula delivering relaxed, calm, and happy effects. Start with one gummy and wait at least 1 hour before consuming more. Onset 30–90 min, effects last 3–4 hrs.",,,20.0,,,Daytime,"Creative,Relaxation",False,False,False,False,False,,,,Beginner,Eat,30–90 min,4–8 hrs,Mid
Hard Cider,Aeterna,Hybrid,Flower,Flower,22,%,50.0,"Focused,Happy,Relaxed,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Hard Cider by Aeterna is a balanced Hybrid flower at 22% THC, offering a smooth, earthy and citrus-forward experience. Its terpene profile of Myrcene, Limonene, and Caryophyllene delivers a refreshing combination of herbal and spiced notes with subtle citrus lift. Effects are well-rounded — calming yet focused — making it a great daytime choice for unwinding without losing productivity. Available in 3.5g.",,3.5g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Gushers | Jar,Dank,Hybrid,Flower,Flower,31,%,53.0,"Focused,Happy,Relaxed,Energetic","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Gushers by Dank is a premium Hybrid strain at a potent 31% THC, known for its dense, resinous buds and complex aroma blending earthy, herbal, and citrus notes. Dominant terpenes Myrcene, Caryophyllene, and Limonene contribute to a balanced profile — relaxing the body while keeping the mind alert and engaged. Perfect for daytime use when you need both mental clarity and physical ease. Available in a 3.5g jar.",,3.5g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Fire OG,Dank,Hybrid,Flower,Flower,28,%,44.0,"Hungry,Sleepy,Euphoric","lemon,spicy,herbal,pine","Limonene,Caryophyllene,Pinene","Fire OG, also known as ""Fire OG Kush,"" is a indica-dominant hybrid marijuana strain made by crossing OG Kush and SFV OG Kush. This strain has an aroma similar to Lemon Pledge and has euphoric effects that are potent and long-lasting. Fire OG is one of the strongest OG strains, and is a fan favorite among consumers who have a high THC tolerance. Fire OG gets its name from the frosty red hairs that make the strain appear to look like it is on fire. Fire OG plants typically flower in 9-10 weeks.",,3.5g,,,,Nighttime,Sleep,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Cheetah Piss | 3.5g,DEALER CANNABIS CO.,Hybrid,Flower,Flower,21,%,26.0,"Focused,Happy,Relaxed,Energetic","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Cheetah Piss by DEALER CANNABIS CO. is a lively Hybrid at 21% THC with a bold, earthy aroma accented by spice and citrus. Despite its provocative name, this strain delivers clean, uplifting effects — promoting focus, happiness, and steady energy throughout the day. Ideal for creative sessions, social activities, or whenever you need a mental boost without couch lock. A solid value in 3.5g.",,3.5g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Kush Mints| 3.5g,DEALER CANNABIS CO.,Hybrid,Flower,Flower,21,%,26.0,"Relaxed,Aroused,Euphoric","mint,menthol","Myrcene,Caryophyllene,Pinene","Kush Mints is a hybrid weed strain made from a genetic cross between Animal Mints and Bubba Kush. This strain is 50% sativa and 50% indica. Kush Mints is a potent and flavorful strain that has a minty and cookie-like aroma and flavor, with hints of gas and pine. It has a balanced high that is both relaxing and euphoric, with a pleasant body buzz and a creative mind. Kush Mints is 28% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Kush Mints effects include feeling relaxed, euphoric, and aroused. Medical marijuana patients often choose Kush Mints when dealing with symptoms associated with anxiety, stress, and depression. Bred by Mr. Nice Seeds, Kush Mints features flavors like mint, menthol, and pine. The dominant terpene of this strain is limonene. The average price of Kush Mints typically ranges from $15-$20 per gram. Kush Mints is a rare and exclusive strain that is not widely available, so if you find it at your local dispensary, don?t hesitate to try it out. If you?ve smoked, dabbed, or consumed Kush Mints, tell us about your experience by leaving a strain review.",,3.5g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Grandi Guava,Florist Farms,Hybrid,Flower,Flower,28,%,70.0,"Focused,Happy,Relaxed,Energetic,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","An incredible cross that?ll let you have your cake and eat it too. This strain shows its colors with classic purple-green lacing and a healthy frost. Ripe fruit from the Gelato lineage pull through on the nose with a blue-cheese undertone, this strain is the whole charcuterie board. Extremely relaxing to the body, this strain will also help quiet the mind and provide much-needed tranquility.",,7g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Peanut Butter Breath,Platinum Reserve,Hybrid,Flower,Flower,30,%,46.0,"Relaxed,Sleepy,Hungry","nutty,butter,chestnut","Caryophyllene,Myrcene,Humulene","Peanut Butter Breath, also known as ""Peanut Butter"" and ""Peanut Breath,"" is a hybrid marijuana strain known for its sedating effects. Crossed with Do-Si-Dos and Mendo Breath, Peanut Butter Breath has a unique nutty and earthy terpene profile when smoked. Beyond the terps, this strain will bring you down into a quality state of chill and relaxation. Originally from ThugPug Genetics, Peanut Butter Breath is very popular and there are many Do-Si-Dos and Mendo Breath crosses out there?breeders Clout King have one called ?Peanut Butter Cup.?",,3.5g,,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
White Cherry Runtz | Flower Bag,Pura,Hybrid,Flower,Flower,25,%,45.0,"Relaxed,Happy,Focused,Energetic","floral,lavender,earthy,herbal,pepper,spicy","Linalool,Myrcene,Caryophyllene","Evenly balanced at 50/50 on the indica/sativa spectrum, White Cherry Runtz is sweet and tangy with a lavender aroma and flavors of berry and rose. Users report enjoyable euphoric and tingly feelings when consuming White Cherry Runtz.",,3.5g,,,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Cosmic Crashers,Verde Lucido,Hybrid,Flower,Flower,22,%,32.0,"Happy,Focused,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Cosmic Crashers by Verde Lucido is a bright Hybrid flower at 22% THC, celebrated for its uplifting and focus-enhancing effects. A terpene blend of Myrcene, Caryophyllene, and Limonene gives this strain its earthy, herbal, and spiced scent with a citrus edge. Whether you're tackling a project or seeking creative inspiration, Cosmic Crashers brings elevated clarity and a happy, motivated mindset. Available in 3.5g.",,3.5g,,,,Daytime,Focus,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
End Game| Moonrocks,Veterans Choice Creations,Hybrid,Flower,Moonrock,59,%,66.0,"Uplifted,Happy","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Elevate your senses to cosmic heights with Space Buds Moon Rocks by Veterans Choice Creations. Comprised of our premier Endgame hybrid strain, these moon rocks combine flower, hash rosin, THCA, kief, and bubble hash for an unparalleled experience. Expertly grown by SEGA Farms and bred by Ethos Genetics, this product epitomizes quality and potency.Components and Potency Total Cannabinoids: 69%Total THC: 59%Minor Cannabinoids: Balanced blend of THCV, CBC, CBN, CBD, and 1.5% CBG Experience Endgame Moon Rocks offer a balanced and potent experience,designed to deliver a multi-faceted high. Each component adds its own layer of complexity and depth, making for a truly unique cannabis journey.Terpene Profile Our Endgame blend features a rich terpene profile led by primary terpenes like R-limonene and alpha-pinene, contributing to a unique and nuanced experience.How to Consume Method of Consumption Smoking: Break the Moon Rocks into smaller pieces and mix with your regular cannabis flower in a pipe or rolling paper.Vaping: Use a vaporizer designed to handle concentrates. Place a small amount of Moon Rocks into the chamber and vape at a low temperature.Recommended Dosage Beginners: Start with a piece about the size of a BB pellet (~0.1 grams). Wait 30-60 minutes before considering additional consumption.Experienced Users: A pea-sized piece (~0.2 to 0.3 grams) should suffice. Again, wait 30-60 minutes to assess effects.",,4g,,,,Daytime,Relaxation,False,False,False,False,False,,"THCA, THCV, CBC, CBN, CBD, CBG",1.5% CBG,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Carbon Fiber,Zizzle,Hybrid,Flower,Flower,24,%,52.0,"Talkative,Hungry,Aroused","chemical,pepper,ammonia","Caryophyllene,Myrcene,Limonene","Carbon Fiber is a hybrid weed strain made from a genetic cross between Grape Pie, Biscotti, and Cookies and Cream. Carbon Fiber is 24% THC and 1% CBG, making this strain an ideal choice for moderate and experienced cannabis consumers. Leafly customers tell us Carbon Fiber effects include talkative, aroused, and euphoric. Medical marijuana patients often choose Carbon Fiber when dealing with symptoms associated with lack of appetite, anxiety, and depression. Bred by the incomparable Cannarado Genetics, Carbon Fiber features flavors like pepper, earthy, and chemical. The dominant terpene of this strain is caryophyllene. The average price of Carbon Fiber typically ranges from $50?$75. If you?ve smoked, dabbed, or consumed Carbon Fiber, tell us about your experience by leaving a strain review.",,3.5g,,,,Daytime,Social,False,False,False,False,False,,CBG,1% CBG,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Banana Jealousy | Dimes,HUDSON CANNABIS,Hybrid,Flower,Flower,24,%,9.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Banana Jealousy Dimes offer a convenient, small-format flower experience perfect for a quick nighttime wind-down. This Hybrid strain clocks in at 24% THC, delivering a calm and relaxed body feel with a gentle euphoric lift. Rich in Myrcene and Caryophyllene, expect earthy herbal notes with a subtle sweet finish. Great for easing stress and settling in for the evening.",,0.7g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Triple Infused | Cheetah PizzxOreoz | Tsunami,7 SEAZ,Hybrid,Pre-rolls,Infused,31,%,25.0,"Relaxed,Happy,Focused,Energetic","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Triple Infused Cheetah Pizx x Oreoz Tsunami by 7 SEAZ is a potent 1g infused pre-roll delivering 31% THC through a triple infusion process. Combining flower, concentrate, and kief, this pre-roll offers an intense, long-lasting experience with rich, earthy, and sweet flavor notes. Recommended for experienced consumers. Onset immediate, effects last 1–3 hrs.",,1g,1.0,1x1g,,Daytime,"Focus,Relaxation",False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Triple Infused | ZkittlesxWhite Runtz | Tsunami,7 SEAZ,Hybrid,Pre-rolls,Infused,49,%,25.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Triple Infused Zkittles x White Runtz Tsunami by 7 SEAZ is a 1g infused pre-roll with 49% THC through triple infusion of flower, concentrate, and kief. Expect a sweet, fruity, candy-forward flavor with powerful euphoric and relaxing effects. For experienced consumers only. Onset immediate, effects last 1–3 hrs.",,1g,1.0,1x1g,,Daytime,"Creative,Focus,Relaxation",False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Triple Infused | Pink GuavaxSunset | 5pk | Tidal Waves | 0.5g,7 SEAZ,Hybrid,Pre-rolls,Infused,35,%,55.0,"Calm,Happy,Relaxed,Energetic,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Triple Infused Pink Guava x Sunset Tidal Waves by 7 SEAZ is a 5-pack of 0.5g infused pre-rolls at 35% THC each. Triple infused with flower, concentrate, and kief for maximum potency. Sweet tropical guava and citrus sunset flavors with deeply relaxing effects. For experienced consumers. Onset immediate, effects last 1–3 hrs.",,0.5g,5.0,5x0.5g,,Anytime,Relaxation,False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Triple Infused | RainbowxGelato 41 | Tsunami,7 SEAZ,Hybrid,Pre-rolls,Infused,36,%,25.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Triple Infused Rainbow x Gelato 41 Tsunami by 7 SEAZ is a 1g infused pre-roll with 36% THC, triple infused with flower, concentrate, and kief. Features sweet, creamy gelato flavors with rainbow candy notes. Delivers a balanced, euphoric, and relaxing high. For experienced consumers. Onset immediate, effects last 1–3 hrs.",,1g,1.0,1x1g,,Daytime,"Creative,Focus,Relaxation",False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Apple Pop | Infused  | 6 Pack,Animal,Hybrid,Pre-rolls,Infused,40,%,65.0,"Creative,Energetic,Happy","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Apple Pop Infused Pre-rolls bring a creative and energetic spark to your session. This 6-pack of Hybrid infused joints packs 40% THC, delivering a potent and flavorful experience driven by Myrcene, Limonene, and Caryophyllene. Expect a bright fruity apple flavor with uplifting effects that fuel creativity and daytime activity. Recommended for experienced consumers.",,1g,6.0,6x1g,,Daytime,Creative,False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Biscotti,Bannermans Batch,Hybrid,Flower,Flower,23,%,100.0,"Tingly,Relaxed,Hungry","vanilla,diesel,honey","Myrcene,Caryophyllene,Limonene","Biscotti is a potent indica-dominant hybrid marijuana strain reportedly made by crossing Gelato 25 with Sour Florida OG. Others report that Biscotti is Motorbreath x G41. This strain produces a cerebral high that leave consumers feeling relaxed, creative, and buzzy from head-to-toe. The effects of Biscotti are known to creep up on consumers, so it's best to take it slow with this strain. In terms of flavor, Biscotti tastes like sweet cookies with undertones of diesel. With a THC level of 21%, medical marijuana patients turn to this strain to relieve symptoms associated with stress, anxiety, and depression. The striking trichome coverage of this strain gives it top shelf appeal. Biscotti was originally bred by Cookies Farms. If you've smoked, dabbed, or consumed this strain before, tell us about your experience by leaving a review.",,14g,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Dosi | 1g,Cornucopia,Hybrid,Pre-rolls,Pre-roll,15,%,12.0,"Relaxed,Happy,Focused,Energetic","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Elevate your cannabis experience with our premium Hybrid Dosi 1 Gram Pre-Roll, masterfully infused with high-quality kief. Hand-selected Dosi Do flowers, known for their potent effects and aromatic profile, are used to create this top-tier pre-roll. Enjoy a substantial and satisfying session with a full gram of premium flower in every pre-roll. Whether you?re looking to enhance your creativity, relax your body, or simply enjoy a premium smoke, the Dosi Do 1 Gram Pre-Roll Infused with Kief is your perfect companion.",,1g,1.0,1x1g,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Beginner,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Zkittles | 1g,Cornucopia,Hybrid,Pre-rolls,Pre-roll,19,%,12.0,"Relaxed,Happy,Focused,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Experience the vibrant, essence of Hybrid Zkittles in a convenient pre-roll format,enhanced with the potent addition of kief. Each pre-roll is expertly crafted using premium Zkittles flower, known for its balanced and relaxing effects, Zkittles provides a mellow,euphoric high that can help relieve stress and enhance mood without overwhelming the senses.",,1g,1.0,1x1g,,Daytime,"Focus,Relaxation",False,False,False,False,False,,,,Beginner,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Lemon Cherry Gelato | Infused | Joint | 0.5g,Dank,Hybrid,Pre-rolls,Infused,35,%,14.0,"Relaxed,Happy,Focused,Energetic","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","Step into the world of sweet indulgence with our Bubble Gum Gelato and Cotton Candy Breath duo, housed in our signature Deuces dual-chamber tank. On one side, Bubble Gum Gelato tantalizes with its creamy sweetness and hints of nostalgic bubble gum flavor. Meanwhile, Cotton Candy Breath on the other side offers a sugary delight that'll leave you craving more. Both strains deliver the soothing and relaxing effects characteristic of indica varieties, perfect for unwinding after a long day and melting away stress. Whether you prefer to savor each flavor individually or blend them for a unique experience, Deuces gives you the freedom to customize your journey. Get ready to double your enjoyment with our Bubble Gum Gelato and Cotton Candy Breath combo - because why settle for one flavor when you can have two?",,0.5g,1.0,1x0.5g,,Daytime,"Focus,Relaxation",False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Budget
White Widow | Infused | Joint | 0.5g,Dank,Hybrid,Pre-rolls,Infused,28,%,16.0,"Energetic,Talkative,Uplifted","woody,spicy,herbal,earthy","Caryophyllene,Myrcene,Pinene","White Widow is a hybrid weed strain made from a genetic cross between a Brazilian sativa landrace and a resin-heavy South Indian indica. This strain is 60% sativa and 40% indica. White Widow is one of the most famous strains worldwide, first bred in the Netherlands by Green House Seeds in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow is 15% THC, making this strain an ideal choice for moderate cannabis consumers. Leafly customers tell us White Widow effects include feeling energetic, talkative, and creative. Medical marijuana patients often choose White Widow when dealing with symptoms associated with stress, anxiety, and pain. White Widow features flavors like woody, spicy/herbal, and earthy. The dominant terpenes of this strain are myrcene and caryophyllene, though growing conditions and strain phenotypes may impact the exact blend. The average price of White Widow typically ranges from $8-$12 per gram. White Widow is a balanced hybrid that can be enjoyed by both indica and sativa lovers. It has a flowering time of 8-9 weeks and can be grown indoors or outdoors in mild climates. It produces chunky and conical buds with a loose and fluffy texture that are easy to break up despite their stickiness. If you?ve smoked, dabbed, or consumed White Widow, tell us about your experience by leaving a strain review.",,0.5g,1.0,1x0.5g,,Daytime,Social,False,False,True,False,False,infused,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Rose | Botanicals,Drew Martin,Hybrid,Pre-rolls,Pre-roll,40,%,20.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","floral,lavender,pine,pepper,spicy","Linalool,Pinene,Caryophyllene","BE OPEN | Rose Petal + Hybrid The gentle aroma of rose petals envelops you, clearing your mind. A refreshing tingle of peppermint swirls around the hybrid cannabis cultivar leaving you feeling balanced and more open to the world around you. You exhale, ?Be open.? This curated blend of cannabis and botanicals was formulated by Drew Martin, an award-winning mixologist and herbalist, to harness the power of plants through cannabinoids, terpenes, and botanicals.",,1g,1.0,1x1g,,Daytime,"Creative,Focus,Relaxation",False,False,False,False,False,,,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Lavender | Botanicals | 2 Pack,Drew Martin,Hybrid,Pre-rolls,Pre-roll,29,%,20.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","floral,lavender,earthy,herbal,pepper,spicy","Linalool,Myrcene,Caryophyllene","BE OPEN | Rose Petal + Hybrid The gentle aroma of rose petals envelops you, clearing your mind. A refreshing tingle of peppermint swirls around the hybrid cannabis cultivar leaving you feeling balanced and more open to the world around you. You exhale, ?Be open.? This curated blend of cannabis and botanicals was formulated by Drew Martin, an award-winning mixologist and herbalist, to harness the power of plants through cannabinoids, terpenes, and botanicals.",,1g,2.0,2x1g,,Daytime,"Creative,Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Velvet Lushers | 7 Pk,Florist Farms,Hybrid,Pre-rolls,Pre-roll,25,%,38.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Velvet Lushers 7-Pack by Florist Farms delivers seven premium 1g pre-rolls at 25% THC each. A smooth, balanced hybrid with velvety, earthy flavors and lush, relaxing effects. Perfect for sharing or stocking up. Ideal for daytime or early evening use. Onset immediate, effects last 1–3 hrs.",,1g,7.0,7x1g,,Daytime,"Creative,Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Super Boof | 7 Pk,Florist Farms,Hybrid,Pre-rolls,Pre-roll,28,%,38.0,"Giggly,Hungry,Euphoric","orange,grapefruit,blue cheese","Limonene,Caryophyllene,Myrcene","Super Boof is a zingy hybrid weed strain made by crossing Black Cherry Punch and Tropicana Cookies. It has the same chunky, deep green buds as its parents that look wet with silver calyxes. The effects of Super Boof are believed to be intensely relaxing and giggly. Reviewers on Leafly say this strain makes them feel euphoric, creative and focused. Medical marijuana patients say they buy Super Boof for gastrointestinal disorders, depression, and fibromyalgia. Super Boof regularly tests at 28% THC. The dominant terpene is myrcene, which translates to earthy, and cherry notes. The original breeder of the Super Boof strain is California's Blockhead, who named it ""Blockberry."" Grower Mobile Jay selected a variety and named it Superboof.",,1g,7.0,7x1g,,Anytime,Social,False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Pause | Cherry Noir | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,Pre-roll,22,%,59.0,"Happy,Relaxed,Creative,Focused,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","PAUSE - (Hybrid) A Relaxing, Chill Experience Pause to reset your day while hanging with friends, watching a movie, or walking your dog. The anytime pre-roll.",,1g,10.0,10x1g,,Daytime,"Creative,Focus,Social,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Party - Hella Jelly | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,Pre-roll,26,%,59.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","citrus,pepper,spicy,pine","Limonene,Caryophyllene,Pinene","PARTY - (Hybrid) An Energetic, Happy Experience Perfect for a day on the slopes, a summer BBQ, or a deep house clean, these pre-rolls bring the party energy",,1g,10.0,10x1g,,Daytime,"Creative,Focus,Social,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Pause | Gazurple | 2 Pack,Honeybee Collective,Hybrid,Pre-rolls,Pre-roll,18,%,15.5,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","PAUSE - A Relaxing, Chill Experience Pause to reset your day while hanging with friends, watching a movie, or walking your dog. The anytime pre-roll.",,1g,2.0,2x1g,,Daytime,"Creative,Focus,Social,Relaxation",False,False,False,False,False,,,,Beginner,Smoke,Immediate (0–5 min),1–3 hrs,Budget
Gelato | Liquid Diamond | 5 Pack,Luci,Hybrid,Pre-rolls,Diamond Infused,19,%,56.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","This evenly balanced hybrid is known for its energizing and creative effects making it the perfect strain for daytime and social use. each joint is filled with new york grown flower, coated with high-terpene liquid thca diamonds, and rolled in kief.",,1g,5.0,5x1g,,Daytime,"Creative,Focus,Social,Relaxation",False,False,True,False,False,infused,THCA,,Experienced,Smoke,Immediate (0–5 min),1–3 hrs,Premium
Lemon Cane x Gelonade Resin,MFNY,Hybrid,Pre-rolls,Pre-roll,28,%,20.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Creative","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","Lemon Cane x Gelonade Resin by MFNY is a 1g live resin pre-roll at 28% THC. This sativa-leaning hybrid combines bright lemon cane sweetness with the creamy, citrusy notes of Gelonade. Delivers uplifting, focused, and energetic effects. Great for daytime use. Onset immediate, effects last 1–3 hrs.",,1g,1.0,1x1g,,Daytime,"Creative,Focus,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
Big Apple Fritter | 3 Pack,Zizzle,Hybrid,Pre-rolls,Pre-roll,25,%,26.0,"Relaxed,Happy,Focused,Energetic","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Big Apple Fritter is a hybrid strain that is known for its deliciously sweet and spicy flavor, reminiscent of a freshly baked apple pastry. It is a cross between Apple Fritter & the original NY Sour Diesel, resulting in a well balanced hybrid that offers both physical relaxation and mental clarity, The THC levels of Big Apple Fritter can range from moderate to high, Its effects are known to be both cerebral and physical, inducing a sense of happiness, euphoria, and relaxation. It is an ideal strain for unwinding after a long day!Big Apple Fritter has dense, dark green buds that are covered in a thick layer of trichomes. Its flavor profile is sweet and spicy, with hints of apple, cinnamon, and nutmeg, making it a popular choice among those who enjoy sweet strains.",,1g,3.0,3x1g,,Daytime,"Focus,Active,Relaxation",False,False,False,False,False,,,,Intermediate,Smoke,Immediate (0–5 min),1–3 hrs,Mid
